Point_Key,Point_Description,Point_score,create_by,create_by,create_dt,update_by,update_dt,organization_name
Very small,Very small,1,jitendra narvaria ,2020-02-04 12:50:09.394579+00:00,jitendra narvaria ,2020-02-04 12:50:09.394589+00:00,digimok
Smallish,Smallish,2,jitendra narvaria ,2020-02-04 12:51:59.168148+00:00,jitendra narvaria ,2020-02-04 12:51:59.168157+00:00,digimok
Small,Small,3,jitendra narvaria ,2020-02-04 12:52:16.364836+00:00,jitendra narvaria ,2020-02-04 12:52:16.364846+00:00,digimok
Medium,Medium,5,jitendra narvaria ,2020-02-04 12:52:34.182660+00:00,jitendra narvaria ,2020-02-04 12:52:34.182669+00:00,digimok
Large,Large,8,jitendra narvaria ,2020-02-04 12:53:03.202625+00:00,jitendra narvaria ,2020-02-04 12:53:03.202636+00:00,digimok
Extra Extra Large (XXL),Extra Extra Large (XXL),20,jitendra narvaria ,2020-02-04 12:53:51.625521+00:00,jitendra narvaria ,2020-02-04 12:53:51.625531+00:00,digimok
Extra Extra Extra Large (XXXL),Extra Extra Extra Large (XXXL),40,jitendra narvaria ,2020-02-04 12:54:11.890845+00:00,jitendra narvaria ,2020-02-04 12:54:11.890858+00:00,digimok
Epic,Epic,100,jitendra narvaria ,2020-02-04 12:54:30.435813+00:00,jitendra narvaria ,2020-02-04 12:54:30.435823+00:00,digimok
Extra Large (XL),Extra Large (XL),13,jitendra narvaria ,2020-02-04 12:57:05.140111+00:00,jitendra narvaria ,2020-02-04 12:57:05.140120+00:00,digimok
New,New,0,jitendra narvaria ,2020-02-07 08:26:11.422388+00:00,jitendra narvaria ,2020-02-07 08:26:11.422401+00:00,digimok
